6;EFE SULTAN DB SKG SK;3y k  d;GÜMBÜRGÜMBÜR;DERİN SULTAN;57;T.YILDIZ;SEVİNÇ ÖZMEN;N.KAYA;1;%3.38(6);30;K0S0K0K2K5K0;14;14;1:57.30
7;EZGİL FIRTINASI KG SK;3y k  d;BİLDENHAN;CALİBE;55;M.ÇELİK AP;ZEYNEP CEYLAN;M.ALTIN;13;%0.92(8);27;Ç4Ç3K0K5Ç0K6;35;14;
8;GÜNKARİ KG SK;3y a  d;GELİBOLU;ELAYAR;53;Y.Ş.GÜMÜŞ AP;ARMAĞAN TURHAN;S.BEKTAŞ;14;%0.51(12);11;S8S9Ç9;13;17;
9;KÜBRA ABLA KG SK;3y a  d;BUDAKHAN;AKALIN;57;O.ATMACA;SEMA ULAŞ;T.N.YILDIZ;9;%11.35(3);;K2;14;19;
10;KÜÇÜK CAMGÖZ KG SK;3y d  d;BODRUM KALESİ;CAMGÖZ;57;O.YILDIZ;ONUR KARADENİZ;MAH.BAYKARA;5;%11.1(4);;S2Ç7;13;18;
11;NESLİHAN HATUN KG SK;3y k  d;ARASLI;GÜLNURKIZ;53;U.LEVENT AP;BORA YILDIZ;C.TURAN;2;%0.56(11);;Ç0;66;19;
12;ÖZGÜNDEN KG DB SK GKR;3y a  d;GELİBOLU;GÖCEK GÜLÜ;57;M.A.AKGÖBEK;İSRAFİL FELHAN;MAH.BAYKARA;12;%1.48(5);25;Ç9S8Ç0K7Ç3Ç0;13;12;
13;SAHA FIRTINASI KG;3y k  d;SERDÜMEN;CENİN;54;BERK.GÖKÇE AP;BİLAL AVCI;T.ATEŞ;8;%0.51(13);;S0Ç0;46;18;
14;SEVGİNUR KG SK;3y a  d;BAKİBEY;ÖZ KARDEŞ;53;M.T.COŞKUN AP;TUBA KAYA;RAM. KAYA;15;%1.02(2);27;K4K5K6K4K3K8;7;15;
15;TUMBUL NADİDE KG K DB;3y a  d;UÇANOĞLU;TÜTSÜ;57;K.TOKAÇOĞLU;İSRAFİL FELHAN;MAH.BAYKARA;11;%4.05(5);23;K4S0Ç6K4Ç0Ç0;13;13;
[(2)ÇİRKİN VE GÜZEL,(14)SEVGİNUR,] eküridir.[(12)ÖZGÜNDEN],(15)TUMBUL NADİDE],] eküridir.GANYAN;İKİLİ;SIRALI İKİLİ;PLASE;PLASE İKİLİ;SIRALI 5 Lİ BAHİS;TABELA BAHİS;TABELA BAHİS SIRASIZ;SABİT GANYAN;SABİT İKİLİ;SABİT SIRALI İKİLİ;SABİT İLK 2;SABİT İLK 3;SABİT İLK 4

